numero de mensaje;eje x;eje y;eje z
119;-0,39;-0,04;-0,90
120;-0,37;-0,04;-0,92
121;-0,40;-0,02;-0,92
122;-0,42;0,02;-0,97
123;-0,42;-0,05;-0,93
124;-0,42;0,00;-0,89
125;-0,26;0,01;-0,97
126;0,38;-0,85;-1,78
127;-0,11;0,15;-1,02
128;0,04;0,11;-0,92
129;-0,05;0,03;-1,02
130;0,00;0,16;-1,00
131;-0,08;0,14;-1,00
132;-0,08;0,14;-1,00
133;-0,08;0,14;-1,00
134;-0,09;0,14;-1,00
135;-0,09;0,15;-1,00
136;-0,09;0,15;-1,00
137;-0,08;0,14;-1,00
138;-0,07;0,14;-1,01
139;-0,08;0,14;-1,00
140;-0,08;0,15;-1,00
141;-0,08;0,15;-1,00
142;-0,08;0,14;-1,00
143;-0,08;0,14;-1,00
144;-0,08;0,14;-1,00
145;-0,08;0,14;-1,00
146;-0,08;0,14;-1,00
147;-0,08;0,14;-1,00
148;-0,08;0,14;-1,00
149;-0,08;0,14;-1,00
150;-0,08;0,14;-1,00
151;-0,08;0,14;-1,00
152;-0,08;0,14;-1,00
153;-0,08;0,14;-1,00
154;-0,08;0,14;-1,00
155;-0,08;0,14;-1,00
156;-0,08;0,14;-1,00
157;-0,08;0,14;-1,00
158;-0,08;0,14;-1,00
159;-0,08;0,14;-1,00
160;-0,08;0,14;-1,00
161;-0,08;0,14;-1,00
162;-0,08;0,14;-1,00
163;-0,08;0,14;-1,00
164;-0,08;0,14;-1,00
165;-0,08;0,15;-1,00
166;-0,08;0,14;-1,00
167;-0,08;0,14;-1,00
168;-0,08;0,15;-1,00
169;-0,08;0,14;-1,00
170;-0,08;0,14;-1,00
171;-0,08;0,14;-1,00
172;-0,08;0,14;-1,00
173;-0,08;0,14;-1,00
174;-0,08;0,14;-1,00
175;-0,08;0,14;-1,00
176;-0,08;0,14;-1,00
177;-0,08;0,14;-1,00
178;-0,08;0,14;-1,00
179;-0,08;0,14;-1,00
180;-0,08;0,14;-1,00
181;-0,08;0,15;-1,00
182;-0,08;0,14;-1,00
183;-0,08;0,15;-1,00
184;-0,08;0,14;-1,00
185;-0,08;0,14;-1,00
186;-0,08;0,14;-1,00
187;-0,08;0,15;-1,00
188;-0,08;0,14;-1,00
189;-0,08;0,14;-1,00
190;-0,08;0,14;-1,00
191;-0,08;0,14;-1,00
192;-0,08;0,14;-1,00
193;-0,08;0,14;-1,00
194;-0,08;0,14;-1,00
195;-0,08;0,14;-1,00
196;-0,08;0,14;-1,00
197;-0,08;0,14;-1,00
198;-0,08;0,14;-1,00
199;-0,08;0,14;-1,00
200;-0,08;0,14;-1,00
201;-0,08;0,15;-1,00
202;-0,08;0,15;-1,00
203;-0,08;0,14;-1,00
204;-0,08;0,15;-1,00
205;-0,08;0,14;-1,00
206;-0,08;0,14;-1,00
207;-0,08;0,14;-1,00
208;-0,08;0,14;-1,00
209;-0,08;0,14;-1,00
210;-0,08;0,14;-1,00
211;-0,08;0,15;-1,00
212;-0,08;0,14;-1,00
213;-0,08;0,14;-1,00
214;-0,08;0,14;-1,00
215;-0,08;0,14;-1,00
216;-0,08;0,14;-1,00
217;-0,08;0,14;-1,00
218;-0,08;0,14;-1,00
219;-0,08;0,15;-1,00
220;-0,08;0,14;-1,00
221;-0,08;0,14;-1,00
222;-0,08;0,14;-1,00
223;-0,08;0,14;-1,00
224;-0,08;0,14;-1,00
225;-0,08;0,14;-1,00
226;-0,08;0,14;-1,00
227;-0,08;0,14;-1,00
228;-0,08;0,14;-1,00
229;-0,08;0,10;-1,01
230;-0,08;0,12;-1,01
231;-0,08;0,10;-1,01
232;-0,08;0,08;-1,01
